OTUID	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S48	S49	S53	S54	S55
bf79254440951af2ec1c9a52841ef308	0	0	0	1151	0	1403	13	0	7	1	0	5	1956	86	0	0	0	0	6	60	1	1434	0	219	14	6	0	0	10	8	0	0	3	0	0	0	3	4	7	0	0
e7f1871e646fd53a230b647fa7abd801	0	0	0	0	0	658	0	0	0	1587	224	0	9	11	0	977	0	279	0	14	11	299	0	43	0	0	1	4	3	0	1	0	9	0	0	0	262	0	0	73	0
87a6f4691cbf895f4466e656bd91cd5d	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	2460	768	0	971	0	0	2	1	0	0	0	0	19	0	0	0	0	0	0	0	0
9b90a76ef5afdc5f92da222e93af6ae5	0	467	0	0	0	0	0	0	0	0	94	0	0	3	0	0	0	0	1	0	0	2	1603	0	0	6	4	0	0	0	0	1502	2	0	0	0	0	0	0	0	0
d90a6bdb9bd72fefc1b8a307a0408e14	0	0	0	0	0	0	40	0	84	0	0	0	8	0	0	0	1762	0	0	0	2	0	0	1351	3	0	1	0	1	0	0	0	3	48	0	0	0	0	0	0	0
b47c3f048d710b44de649d4b5f38a8dd	3	0	0	710	0	13	0	0	0	0	0	1	0	0	0	600	0	1519	0	3	0	0	0	0	0	0	0	0	2	0	0	197	0	0	0	0	237	0	0	0	0
7f1a829dcbd048f07905d10b24b43bef	0	0	1	201	321	211	0	0	0	0	2111	0	0	39	0	0	0	3	26	12	0	0	0	3	0	15	31	55	4	17	2	0	129	36	0	0	0	0	0	0	0
aeaa51c15d9b09b3118bac12957a8af1	13	0	0	0	0	0	2387	4	0	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0
57472d7b223c85de829378845185faa8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	685	0	0	0	0	0	0	0	0	0
2e88768ea940b440fb2c810d0e0a2be9	0	0	0	0	0	0	0	0	0	2	160	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	83	0	0	0	0	3	0	448
7011600ea187065dba53fbcfc79813f9	0	0	6	142	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
5e513387ac41d767d855ae953addbbb7	2	0	0	0	0	0	0	0	0	0	0	61	0	16	0	0	0	0	1	0	0	0	2	0	0	0	0	5	4	0	0	1	0	253	0	1	0	0	0	0	0
d61b4f3011e7fc31aa4f004c3401cd30	0	0	0	264	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
617305ffd4d96af2ed9e9ebf926237ef	2	0	0	0	0	0	242	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c730583e2f31efeafac5be468e77e132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
518c4abf8b949eff7c54f8b5cdc15a47	0	0	3	0	84	0	31	0	0	1	0	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fd29dc9d4a8b1b9b925e2c51685a2078	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b25eea657c218af41b056040edabf619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
