Site,EM,Saprotrophic,All,pH,clusts
S1,9,6,29,>8,pH >8
S10,5,15,58,6-8,pH <8
S11,5,4,25,>8,pH >8
S12,6,9,29,<6,pH <8
S13,5,7,31,<6,pH <8
S14,7,7,32,6-8,pH <8
S15,7,5,23,<6,pH <8
S16,4,12,41,>8,pH >8
S17,6,9,31,<6,pH <8
S18,7,11,40,<6,pH <8
S19,5,5,20,<6,pH <8
S2,8,16,56,<6,pH <8
S20,4,10,33,<6,pH <8
S21,9,5,30,>8,pH >8
S22,3,12,57,<6,pH <8
S23,3,10,42,<6,pH <8
S24,3,14,39,<6,pH <8
S25,4,13,37,6-8,pH <8
S26,6,5,30,>8,pH >8
S27,7,19,57,6-8,pH <8
S28,8,8,26,<6,pH <8
S29,6,8,30,<6,pH <8
S3,5,6,36,<6,pH <8
S30,6,4,29,<6,pH <8
S31,4,9,37,>8,pH >8
S32,4,10,40,6-8,pH <8
S35,7,5,27,>8,pH >8
S36,8,9,39,>8,pH >8
S37,10,19,67,6-8,pH <8
S38,5,10,62,6-8,pH <8
S39,5,7,32,6-8,pH <8
S4,5,9,32,6-8,pH <8
S40,9,10,48,6-8,pH <8
S41,6,3,29,>8,pH >8
S42,2,9,38,6-8,pH <8
S43,2,8,37,6-8,pH <8
S48,5,14,53,<6,pH <8
S49,6,16,54,<6,pH <8
S53,5,6,48,<6,pH <8
S54,5,16,57,<6,pH <8
S55,3,7,34,<6,pH <8
