OTUID	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S48	S49	S53	S54	S55
58e3a881c48e1d7685dc7e95b619d775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1b02413693292610185e5db9d26e67ed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
f9b9d393e680a54ee38efd2a2672cc5f	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15b18dbd97d58bd2499838495b8e8aa2	0	10	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	532	1	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0
ec2cf270f31218532b2a01d5992ba309	76	0	47	0	0	0	0	90	0	0	2	0	0	1794	0	0	0	0	474	0	0	0	0	0	146	0	1681	17	0	0	0	0	0	0	0	0	0	0	0	0	0
a8db2e2d00ffe32b938d4cc223fdb193	5	23	0	128	93	68	1	9	7	61	34	0	50	1	0	0	123	42	0	47	34	36	0	26	0	0	0	0	2	0	0	1	1684	0	0	0	17	170	110	22	0
7dc97e9ae73a6b7197a0fe0f617a7aa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	172	0	58	1486
f03a9a1baa5c814f0343c5153b14edcd	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1775	0	16	0	61	0
d3c401280b1aca324ab8fc07f31f2e2f	0	0	11	0	0	0	0	11	0	0	0	0	0	5	0	0	0	0	1793	0	0	0	0	0	12	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0
2e2d10d2686223176ed11967fc0b6988	2	0	0	0	0	0	0	0	0	0	0	337	2	0	3	0	0	14	0	0	0	0	22	0	0	199	2	0	239	83	12	0	140	73	64	4	0	0	0	0	0
d45b3adb5a42924aeea7c6c85c4fa093	0	273	10	10	52	34	5	0	16	21	6	14	56	0	3	10	1	6	0	133	4	1	1	11	0	0	0	0	2	8	0	4	0	0	0	0	218	86	0	104	18
407f6b4aca358393d2050871ea08cafe	0	5	0	1	0	0	0	0	9	5	0	78	0	0	48	47	18	0	0	11	0	0	5	1	0	0	0	0	41	26	0	0	18	0	0	0	397	11	11	38	8
a4d2056c472a99fce537a8aec7c8b081	0	267	0	0	0	0	0	0	0	0	0	27	0	0	4	12	0	0	0	151	0	0	0	0	0	16	0	3	5	82	0	0	10	0	10	0	33	5	3	0	0
fa143891485e867b731aeaa77a1a310f	0	23	0	0	0	0	0	0	0	0	0	55	0	0	8	4	14	0	0	0	0	0	0	0	0	0	0	0	4	22	3	39	0	0	61	0	101	0	0	0	3
922a9826d9977c283af24ccfb6cd1a97	0	0	0	0	8	0	0	0	7	3	0	0	0	0	0	16	21	11	0	16	2	6	0	0	0	0	0	0	0	4	0	2	0	0	0	0	49	104	37	40	6
b11300b4e90f43e0c21af32a876228b7	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dcf7bb9be5ebe5e9d58d1dc7038bbb64	0	0	0	0	0	0	0	0	0	0	0	37	0	0	10	1	0	0	0	8	0	0	12	0	0	0	0	0	75	19	0	0	42	0	0	11	5	0	4	0	0
d498359fe51debe0d8f2adcb52e63358	0	0	0	15	27	46	2	0	0	0	0	0	8	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	19	22	12	0	0	0	0	0	17	0
a1535fbbb0771a225679e4c2f90885dd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1f4410e35c24db6016203371e393f44b	0	0	17	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	115	0	0	0	0	3	0	0	0
3255bd204a9480049c688e5b32b0f5d7	0	0	0	0	0	0	0	7	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	48	14	7	0	9	0	19	0	7	30	0	0	0
13c12b2c0c0d5b9a787b660c746ba172	0	25	0	0	2	2	0	0	10	18	0	0	9	0	0	0	37	4	0	8	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	9	1
d0adc488c2e895749f34ebc3fabb0e6a	0	16	0	0	17	1	1	0	0	4	0	2	14	0	0	0	13	0	0	5	13	3	0	0	0	0	0	0	0	4	0	1	0	0	0	0	3	24	6	10	0
d8d398e542fcfb4c1057efb35f1a3ca9	0	0	0	0	0	17	0	0	40	18	0	0	8	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0
839c654db4359f1bb2a351a0c1411624	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28a6da5971a7f98c34abc56e9b9dc060	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	31	33	0	0	7	0
