SampleID,Sample,Moisture_Content,pH_,PO4,TN,TC,Cd,Co,Cu,Fe,Mn,Ni,Pb,Zn,Temperature,pH
S10,2.5,0.754966887,6.4,55.74257426,0.589654944,15.71674012,0.099800399,0.279441118,80.23952096,167.2654691,69.06187625,0.419161677,6.387225549,9.780439122,15,6-8
S11,3.1,1.948275862,9.41,34.53061224,0.339533485,4.316336308,0.067326733,0.011881188,28.75247525,22.89108911,27.68316832,0.122772277,2.01980198,7.96039604,31.1,>8
S13,3.3,0.173553719,4.78,7.364356436,0.090600868,1.797890039,0.06374502,0.155378486,2.19123506,151.2749004,36.25498008,0.211155378,1.87250996,1.434262948,16.2,<6
S14,3.4,0.128834356,6.14,20.15686275,0.115733043,3.436531542,0.314115308,0.26640159,2.107355865,187.7534791,126.2823062,0.596421471,7.31610338,6.719681909,12.3,6-8
S15,3.5,0.19858156,4.71,7.132038835,0.101747649,2.884508576,0.115308151,0.337972167,2.26640159,256.4612326,95.90457256,0.318091451,3.021868787,2.067594433,11,<6
S16,4.1,0.632183908,10.3,21.66666667,0.202307581,2.807583156,0.092184369,0.016032064,5.490981964,9.97995992,24.8496994,0.036072144,1.042084168,2.725450902,22.7,>8
S17,4.2,0.158567775,4.9,3.969230769,0.088056964,2.030189402,0,0.011904762,1.964285714,116.2698413,10.91269841,0,1.567460317,0.714285714,18.6,<6
S18,4.3,0.191111111,4.8,12.91456311,0.330285244,8.779757699,0.059642147,0.238568588,4.572564612,239.9602386,107.9522863,0.397614314,6.361829026,3.777335984,14,<6
S19,4.4,0.280141844,5.2,16.85148515,0.096285067,2.485386587,0.04008016,0.100200401,0.921843687,145.5310621,4.488977956,0.160320641,1.763527054,1.482965932,14.3,<6
S2,1.2,0.255813953,5.91,2.716,0.110718652,1.291113566,0.086614173,0.07480315,5.118110236,90.27559055,33.7007874,0.181102362,1.850393701,2.086614173,17.8,<6
S20,4.5,0.199524941,5.5,11.15145631,0.14338603,3.236369146,0.088176353,0.052104208,1.24248497,131.9038076,55.91182365,0.156312625,2.164328657,2.44488978,12.9,<6
S22,5.2,0.124542125,5.71,6.372441338,0.184210659,2.919036266,0.122772277,0.158415842,4.277227723,98.05940594,53.7029703,0.201980198,2.217821782,2.534653465,28.2,<6
S23,5.3,0.129032258,5.52,10.772,0.114262806,1.932879287,0.131212724,0.206759443,2.425447316,92.28628231,62.027833,0.190854871,2.425447316,2.862823062,19.4,<6
S24,5.4,0.083333333,5.6,6.35,0.133308024,2.743163846,0.162698413,0.198412698,3.095238095,124.8412698,62.46031746,0.261904762,3.531746032,2.53968254,25.4,<6
S25,5.5,0.198630137,6.3,14.0815534,0.108426725,2.042603714,0.190854871,0.230616302,1.948310139,117.1371769,119.0854871,0.337972167,3.180914513,4.413518887,11.8,6-8
