OTUID	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S48	S49	S5	S53	S54	S55	S6	S60	S63	S64	S67	S69	S7	S8	S9	taxonomy
bf79254440951af2ec1c9a52841ef308	0	0	0	1151	0	1403	13	0	7	1	0	5	1956	86	0	0	0	0	6	60	1	1434	0	219	14	6	0	0	10	8	0	0	3	0	0	0	3	4	0	7	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Cortinariaceae;_g__Cortinarius
e7f1871e646fd53a230b647fa7abd801	0	0	0	0	0	658	0	0	0	1587	224	0	9	11	0	977	0	279	0	14	11	299	0	43	0	0	1	4	3	0	1	0	9	0	0	0	262	0	0	0	73	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Thelephorales;_f__Thelephoraceae;_g__Thelephora;_s__Thelephora_terrestris
ec2cf270f31218532b2a01d5992ba309	76	0	47	0	0	0	0	90	0	0	2	0	0	1794	0	0	0	0	474	0	0	0	0	0	146	0	1681	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Agaricaceae;_g__Coprinus;_s__Coprinus_cordisporus
87a6f4691cbf895f4466e656bd91cd5d	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	2460	768	0	971	0	0	2	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Russulales;_f__Russulaceae;_g__Russula;_s__Russula_veternosa
5b54c5c00abaaffd4fc3de04c0c3fe99	4	5	17	2	0	0	0	194	0	0	0	43	0	15	41	2	0	8	1	132	0	1	8	0	110	651	24	1243	776	93	86	2	25	158	97	74	49	22	0	10	8	1	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Sordariomycetes;_o__Hypocreales;_f__Nectriaceae;_g__Gibberella
52856d889479f51df69a0cacb833dc14	0	260	8	50	529	25	39	0	158	105	7	0	19	0	168	422	19	0	0	36	22	4	0	36	0	0	0	0	0	485	5	4	0	38	0	0	702	197	0	309	186	17	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Leotiomycetes;_o__Helotiales
9b90a76ef5afdc5f92da222e93af6ae5	0	467	0	0	0	0	0	0	0	0	94	0	0	3	0	0	0	0	1	0	0	2	1603	0	0	6	4	0	0	0	0	1502	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Atheliales;_f__Atheliaceae;_g__Amphinema;_s__unidentified
14517b3d1741c6efcfa7704a962a03fc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2508	0	0	803	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Hygrophoraceae;_g__Hygrocybe;_s__Hygrocybe_conica
d90a6bdb9bd72fefc1b8a307a0408e14	0	0	0	0	0	0	40	0	84	0	0	0	8	0	0	0	1762	0	0	0	2	0	0	1351	3	0	1	0	1	0	0	0	3	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Hygrophoraceae;_g__Hygrophorus;_s__Hygrophorus_hypothejus
b47c3f048d710b44de649d4b5f38a8dd	3	0	0	710	0	13	0	0	0	0	0	1	0	0	0	600	0	1519	0	3	0	0	0	0	0	0	0	0	2	0	0	197	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Boletales;_f__Suillaceae;_g__Suillus;_s__Suillus_pseudobrevipes
f007072001e6b27027649d464b1c540c	1563	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	655	0	125	539	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi
7f1a829dcbd048f07905d10b24b43bef	0	0	1	201	321	211	0	0	0	0	2111	0	0	39	0	0	0	3	26	12	0	0	0	3	0	15	31	55	4	17	2	0	129	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Cortinariaceae;_g__Cortinarius
70d69c3c57ae332c946608d266241b50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	154	1	9	0	5	67	864	38	2002	k__Fungi
dc08ace1382de4f30807a77d28a23e27	0	0	0	0	0	0	0	1	0	0	0	660	6	0	844	0	1	0	0	0	0	0	164	0	0	0	0	0	1	363	11	0	15	0	0	6	151	322	0	74	538	8	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota
2d04e907a0928a08469f86b1252155e7	0	19	0	1	7	16	18	0	1104	406	3	3	147	5	0	1	37	137	0	63	4	7	0	30	0	0	0	0	0	0	0	2	7	0	0	0	4	52	0	937	47	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Eurotiomycetes;_o__Chaetothyriales
4881ecc85c95b90ae85aed905a87fd31	154	0	2293	0	0	0	0	60	0	0	0	0	0	57	0	0	0	0	92	0	0	0	0	0	0	0	0	20	1	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Sordariomycetes;_o__Hypocreales;_f__Hypocreales_fam_Incertae_sedis;_g__Acremonium;_s__Acremonium_exuviarum
a8db2e2d00ffe32b938d4cc223fdb193	5	23	0	128	93	68	1	9	7	61	34	0	50	1	0	0	123	42	0	47	34	36	0	26	0	0	0	0	2	0	0	1	1684	0	0	0	17	170	0	110	22	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Eurotiomycetes;_o__Eurotiales;_f__Aspergillaceae;_g__Penicillium
7fa8f59a63cdeef2bbbb30a9f5385b85	0	252	0	20	460	99	14	0	354	246	73	0	104	17	1	19	44	2	0	31	18	4	6	59	0	0	0	0	0	116	3	53	5	0	0	0	19	136	0	88	383	11	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Leotiomycetes;_o__Helotiales;_f__Vibrisseaceae;_g__Phialocephala;_s__Phialocephala_fortinii
a1656052be9c9d08461f737ee7e2de0a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2526	25	0	0	0	k__Fungi
7a097c6caaf4d5fb44821449523f2e3d	168	4	0	0	0	0	0	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1408	0	112	20	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Sordariomycetes;_o__Sordariales
aeaa51c15d9b09b3118bac12957a8af1	13	0	0	0	0	0	2387	4	0	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Cortinariaceae;_g__Cortinarius;_s__Cortinarius_pansa
882864a4d9b2e46e56e015dd86941835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	19	2394	0	0	0	k__Fungi
d39e174872965e784e14621d2e7b3079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	61	2	0	5	0	0	2350	0	k__Fungi;_p__unidentified;_c__unidentified;_o__unidentified;_f__unidentified;_g__unidentified;_s__unidentified
7dc97e9ae73a6b7197a0fe0f617a7aa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	172	0	0	58	1486	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Agaricales;_f__Entolomataceae;_g__Clitopilus;_s__unidentified
ea2c790b6306074393bce6d0986fa397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2058	0	0	0	1	0	k__Fungi
f03a9a1baa5c814f0343c5153b14edcd	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1775	0	16	0	0	61	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Atheliales;_f__Atheliaceae;_g__Athelopsis;_s__Athelopsis_lembospora
b7d762e0025e48eb51a633acd1049d0c	0	0	14	0	0	0	0	14	0	0	0	28	0	0	8	1	0	3	0	0	0	0	2	0	1	237	3	35	1090	72	99	0	132	0	6	0	35	7	0	0	0	162	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Dothideomycetes;_o__Pleosporales;_f__Pleosporaceae;_g__Alternaria;_s__Alternaria_terricola
