isolate,pH,replicate,date_measured,day_measured,day_interval,radial_growth_a,radial_growth_b,radial_growth_c,radial_growth_d
YNP67,4,1,2/5/20,1,1,4,5,7,5
YNP67,4,2,2/5/20,1,1,7,7,0,0
YNP67,4,3,2/5/20,1,1,7,4,0,4
YNP67,7,1,2/5/20,1,1,6.5,7,6.5,6
YNP67,7,2,2/5/20,1,1,7,5,7,7
YNP67,7,3,2/5/20,1,1,5,6,6,7
YNP67,9,1,2/5/20,1,1,7,5,7.5,5
YNP67,9,2,2/5/20,1,1,7,6.5,7,7.5
YNP67,9,3,2/5/20,1,1,8,5,7,6
YNP67,4,1,2/6/20,2,1,5,5.5,7.5,6
YNP67,4,2,2/6/20,2,1,7.5,7,5,6
YNP67,4,3,2/6/20,2,1,5,6,8,3.5
YNP67,7,1,2/6/20,2,1,10.5,11,11,11
YNP67,7,2,2/6/20,2,1,12,10,11,12
YNP67,7,3,2/6/20,2,1,10.5,13,11,11
YNP67,9,1,2/6/20,2,1,12.5,9.5,12,10
YNP67,9,2,2/6/20,2,1,10,10,13,13
YNP67,9,3,2/6/20,2,1,11.5,10,12,9.5
YNP67,4,1,2/7/20,3,1,6,7,8.5,7.5
YNP67,4,2,2/7/20,3,1,8.5,8.5,5,8
YNP67,4,3,2/7/20,3,1,8,5.5,7,5
YNP67,7,1,2/7/20,3,1,19,16,16,15.5
YNP67,7,2,2/7/20,3,1,16,19,15.5,15.5
YNP67,7,3,2/7/20,3,1,15.5,18,18,18
YNP67,9,1,2/7/20,3,1,18.5,13.5,18.5,14.5
YNP67,9,2,2/7/20,3,1,15,14.5,19,16
YNP67,9,3,2/7/20,3,1,15,13,18,14
YNP67,4,1,2/10/20,6,3,13,14,16,14
YNP67,4,2,2/10/20,6,3,14,13.5,12,13.5
YNP67,4,3,2/10/20,6,3,17,14.5,14,12.5
YNP67,7,1,2/10/20,6,3,26,28,25,23
YNP67,7,2,2/10/20,6,3,27,25,25,25
YNP67,7,3,2/10/20,6,3,17,21,30,22
YNP67,9,1,2/10/20,6,3,25.5,21,25,25.5
YNP67,9,2,2/10/20,6,3,23.5,24.5,28,24
YNP67,9,3,2/10/20,6,3,26,24,23.5,23.5
YNP67,4,1,2/11/20,7,1,14.5,16.5,18,15
YNP67,4,2,2/11/20,7,1,16,16.5,14.5,16
YNP67,4,3,2/11/20,7,1,17,15.5,16,14.5
YNP67,7,1,2/11/20,7,1,26,28,25,23
