isolate,temp,replicate,date_measured,day_measured,day_interval,area_measured
YNP1,30,1,31-May,1,0,0
YNP1,30,1,3-Jun,4,3,0.187
YNP1,30,1,4-Jun,5,1,0.27
YNP1,30,1,5-Jun,6,1,0.558
YNP1,30,1,6-Jun,7,1,1.352
YNP1,30,1,7-Jun,8,1,1.63
YNP1,30,1,10-Jun,11,3,3.051
YNP1,30,1,11-Jun,12,1,3.732
YNP1,30,1,12-Jun,13,1,4.162
YNP1,30,2,31-May,1,0,0
YNP1,30,2,3-Jun,4,3,0
YNP1,30,2,4-Jun,5,1,0.322
YNP1,30,2,5-Jun,6,1,0.495
YNP1,30,2,6-Jun,7,1,0.854
YNP1,30,2,7-Jun,8,1,1.257
YNP1,30,2,10-Jun,11,3,3.405
YNP1,30,2,11-Jun,12,1,3.844
YNP1,30,2,12-Jun,13,1,4.553
YNP1,30,3,31-May,1,0,0
YNP1,30,3,3-Jun,4,3,0.217
YNP1,30,3,4-Jun,5,1,0.432
YNP1,30,3,5-Jun,6,1,0.695
YNP1,30,3,6-Jun,7,1,1.214
YNP1,30,3,7-Jun,8,1,1.694
YNP1,30,3,10-Jun,11,3,3.278
YNP1,30,3,11-Jun,12,1,4.05
YNP1,30,3,12-Jun,13,1,4.495
YNP1,35,6,31-May,1,0,0
YNP1,35,6,3-Jun,4,3,0
YNP1,35,6,4-Jun,5,1,0.234
YNP1,35,6,5-Jun,6,1,0.355
YNP1,35,6,6-Jun,7,1,0.591
YNP1,35,6,7-Jun,8,1,0.804
YNP1,35,6,10-Jun,11,3,1.231
YNP1,35,6,11-Jun,12,1,1.489
YNP1,35,6,12-Jun,13,1,1.704
YNP1,40,6,31-May,1,0,0
YNP1,40,6,3-Jun,4,3,0
YNP1,40,6,4-Jun,5,1,0
YNP1,40,6,5-Jun,6,1,0
YNP1,40,6,6-Jun,7,1,0
YNP1,40,6,7-Jun,8,1,0
YNP1,40,6,10-Jun,11,3,0
YNP1,40,6,11-Jun,12,1,0
YNP1,40,6,12-Jun,13,1,0
YNP56,30,1,31-May,1,0,0
YNP56,30,1,3-Jun,4,3,12.735
YNP56,30,1,4-Jun,5,1,22.926
YNP56,30,1,5-Jun,6,1,35.472
YNP56,30,1,6-Jun,7,1,39.501
YNP56,30,2,31-May,1,0,0
YNP56,30,2,3-Jun,4,3,12.06
YNP56,30,2,4-Jun,5,1,21.684
YNP56,30,2,5-Jun,6,1,32.434
YNP56,30,2,6-Jun,7,1,44.047
YNP56,30,3,31-May,1,0,0
YNP56,30,3,3-Jun,4,3,11.543
YNP56,30,3,4-Jun,5,1,20.342
YNP56,30,3,5-Jun,6,1,33.529
YNP56,30,3,6-Jun,7,1,44.178
YNP56,35,4,31-May,1,0,0
YNP56,35,4,3-Jun,4,3,12.166
YNP56,35,4,4-Jun,5,1,21.726
YNP56,35,4,5-Jun,6,1,32.907
YNP56,35,4,6-Jun,7,1,44.121
YNP56,35,6,31-May,1,0,0
YNP56,35,6,3-Jun,4,3,12.178
YNP56,35,6,4-Jun,5,1,20.845
YNP56,35,6,5-Jun,6,1,32.663
YNP56,35,6,6-Jun,7,1,43.643
YNP56,40,7,31-May,1,0,0
YNP56,40,7,3-Jun,4,3,0.309
YNP56,40,7,4-Jun,5,1,0.924
YNP56,40,7,5-Jun,6,1,1.537
YNP56,40,7,6-Jun,7,1,2.262
YNP56,40,8,31-May,1,0,0
YNP56,40,8,3-Jun,4,3,0.098
YNP56,40,8,4-Jun,5,1,0.556
YNP56,40,8,5-Jun,6,1,0.974
YNP56,40,8,6-Jun,7,1,1.687
YNP56,40,9,31-May,1,0,0
YNP56,40,9,3-Jun,4,3,0.323
YNP56,40,9,4-Jun,5,1,0.441
YNP56,40,9,5-Jun,6,1,0.858
YNP56,40,9,6-Jun,7,1,1.548
YNP67,30,1,31-May,1,0,0
YNP67,30,1,3-Jun,4,3,14.069
YNP67,30,1,4-Jun,5,1,21.96
YNP67,30,1,5-Jun,6,1,29.245
YNP67,30,1,6-Jun,7,1,36.15
YNP67,30,1,7-Jun,8,1,43.785
YNP67,30,2,31-May,1,0,0
YNP67,30,2,3-Jun,4,3,15.311
YNP67,30,2,4-Jun,5,1,21.443
YNP67,30,2,5-Jun,6,1,30.675
YNP67,30,2,6-Jun,7,1,37.968
YNP67,30,2,7-Jun,8,1,45.802
YNP67,30,3,31-May,1,0,0
YNP67,30,3,3-Jun,4,3,14.478
YNP67,30,3,4-Jun,5,1,20.576
YNP67,30,3,5-Jun,6,1,29.052
YNP67,30,3,6-Jun,7,1,37.19
YNP67,30,3,7-Jun,8,1,46.171
YNP67,35,4,21-Jun,1,0,1.404
YNP67,35,4,24-Jun,4,3,4.949
YNP67,35,4,25-Jun,5,2,6.515
YNP67,35,5,21-Jun,6,0,1.672
YNP67,35,5,24-Jun,7,3,6.026
YNP67,35,5,25-Jun,8,2,7.98
YNP67,35,6,31-May,1,0,0
YNP67,35,6,3-Jun,4,3,2.926
YNP67,35,6,4-Jun,5,1,4.63
YNP67,35,6,5-Jun,6,1,7.204
YNP67,35,6,6-Jun,7,1,9.581
YNP67,35,6,7-Jun,8,1,12.499
YNP6,30,1,4/4/19,1,1,0
YNP6,30,2,4/4/19,1,1,0
YNP6,30,3,4/4/19,1,1,0
YNP6,30,1,4/5/19,4,1,1.76625
YNP6,30,2,4/5/19,4,1,1.76625
YNP6,30,3,4/5/19,4,1,2.4040625
YNP6,30,1,4/7/19,2,2,0.19625
YNP6,30,2,4/7/19,2,2,0.993515625
YNP6,30,3,4/7/19,2,2,0.4415625
YNP6,35,1,4/4/19,1,1,0
YNP6,35,2,4/4/19,1,1,0
YNP6,35,3,4/4/19,1,1,0
YNP6,35,1,4/5/19,2,1,0.19625
YNP6,35,2,4/5/19,4,1,0.4415625
YNP6,35,3,4/5/19,4,1,1.2265625
YNP6,35,1,4/7/19,4,2,0.601015625
YNP6,35,2,4/7/19,2,2,0.19625
YNP6,35,3,4/7/19,2,2,0.306640625
YNP6,40,1,4/4/19,1,1,0
YNP6,40,2,4/4/19,1,1,0
YNP6,40,3,4/4/19,1,1,0
YNP6,40,1,4/5/19,2,1,0
